EC_number	Organism_name	Protein_file	Mol_file	pH	Temperature	Km_value_with_ref
2.3.1.50	Sphingomonas paucimobilis	4BMK.pdb	mol_1910.sdf	7.5	25°C	[(0.041, '79'), (0.0356, '65,66')]
2.3.1.50	Sphingomonas paucimobilis	4BMK.pdb	mol_106.sdf	-----	-----	[(6.2, '40'), (3.5, '40')]
2.3.1.82	Acinetobacter baumannii	4EVY.pdb	mol_1996.sdf	8	37°C	[(0.111, '59'), (0.104, '59')]
2.3.1.82	Acinetobacter baumannii	4EVY.pdb	mol_1999.sdf	8	37°C	[(0.0118, '59'), (0.0062, '59')]
2.3.1.82	Acinetobacter baumannii	4EVY.pdb	mol_1994.sdf	8	37°C	[(0.0168, '59'), (0.0105, '59')]
2.3.1.82	Acinetobacter baumannii	4EVY.pdb	mol_2002.sdf	8	37°C	[(0.0216, '59'), (0.0173, '59')]
2.3.1.82	Acinetobacter baumannii	4EVY.pdb	mol_2003.sdf	8	37°C	[(0.0079, '59'), (0.0074, '59')]
2.3.1.82	Acinetobacter haemolyticus	4EVY.pdb	mol_1996.sdf	8	37°C	[(0.111, '59'), (0.104, '59')]
2.3.1.82	Acinetobacter haemolyticus	4EVY.pdb	mol_2003.sdf	8	37°C	[(0.0079, '59'), (0.0074, '59')]
2.3.1.82	Acinetobacter haemolyticus	4EVY.pdb	mol_1994.sdf	8	37°C	[(0.0168, '59'), (0.0105, '59')]
2.3.1.82	Acinetobacter haemolyticus	4EVY.pdb	mol_2002.sdf	8	37°C	[(0.0216, '59'), (0.0173, '59')]
2.3.1.82	Acinetobacter haemolyticus	4EVY.pdb	mol_1999.sdf	8	37°C	[(0.0118, '59'), (0.0062, '59')]
2.3.1.97	Homo sapiens	5O6H.pdb	mol_1976.sdf	7.5	25°C	[(0.00104, '97'), (0.00057, '97')]
2.3.3.13	Mycobacterium tuberculosis	3HQ1.pdb	mol_1882.sdf	7.5	25°C	[(0.14, '50'), (0.136, "{34: 'Kinetic and chemical mechanism of alpha-isopropylmalate synthase from Mycobacterium tuberculosis,2006', 46: 'Removal of the C-terminal regulatory domain of alpha-isopropylmalate synthase disrupts functional substrate binding,2012'}")]
2.3.3.5	Salmonella enterica subsp. enterica serovar Typhimurium	5UQR.pdb	mol_300.sdf	8	30°C	[(0.015, '22'), (0.013, '22')]
2.4.1.133	Homo sapiens	4IRP.pdb	mol_2088.sdf	7	37°C	[(0.31, "{21: 'Thermodynamic insights into the structural basis governing the donor substrate recognition by human beta1,4-galactosyltransferase 7. Biochem,2009', 29: 'Biochemical and thermodynamic characterization of mutated beta1,4-galactosyltransferase 7 involved in the progeroid form of the Ehlers-Danlos syndrome. Biochem,2010', 31: 'Identification of key functional residues in the active site of human {beta}1,4-galactosyltransferase 7: a major enzyme in the glycosaminoglycan synthesis pathway. J. Biol,2010'}"), (0.28, '31')]
2.4.1.133	Homo sapiens	4IRP.pdb	mol_2089.sdf	7	37°C	[(0.35, "{37: 'Probing the acceptor active site organization of the human recombinant beta1,4-galactosyltransferase 7 and design of xyloside-based inhibitors. J. Biol,2015'}"), (0.32, '31'), (0.33, '31')]
2.4.1.133	Homo sapiens	4IRP.pdb	mol_2098.sdf	and	-----	[(1.27, "{21: 'Thermodynamic insights into the structural basis governing the donor substrate recognition by human beta1,4-galactosyltransferase 7. Biochem,2009', 29: 'Biochemical and thermodynamic characterization of mutated beta1,4-galactosyltransferase 7 involved in the progeroid form of the Ehlers-Danlos syndrome. Biochem,2010'}"), (0.85, "{21: 'Thermodynamic insights into the structural basis governing the donor substrate recognition by human beta1,4-galactosyltransferase 7. Biochem,2009', 29: 'Biochemical and thermodynamic characterization of mutated beta1,4-galactosyltransferase 7 involved in the progeroid form of the Ehlers-Danlos syndrome. Biochem,2010'}")]
2.4.1.133	Homo sapiens	4IRP.pdb	mol_2089.sdf	-----	-----	[(0.27, "{21: 'Thermodynamic insights into the structural basis governing the donor substrate recognition by human beta1,4-galactosyltransferase 7. Biochem,2009', 29: 'Biochemical and thermodynamic characterization of mutated beta1,4-galactosyltransferase 7 involved in the progeroid form of the Ehlers-Danlos syndrome. Biochem,2010'}"), (0.16, "{21: 'Thermodynamic insights into the structural basis governing the donor substrate recognition by human beta1,4-galactosyltransferase 7. Biochem,2009', 31: 'Identification of key functional residues in the active site of human {beta}1,4-galactosyltransferase 7: a major enzyme in the glycosaminoglycan synthesis pathway. J. Biol,2010'}")]
2.4.1.133	Homo sapiens	4IRP.pdb	mol_2098.sdf	-----	-----	[(1.27, "{21: 'Thermodynamic insights into the structural basis governing the donor substrate recognition by human beta1,4-galactosyltransferase 7. Biochem,2009', 29: 'Biochemical and thermodynamic characterization of mutated beta1,4-galactosyltransferase 7 involved in the progeroid form of the Ehlers-Danlos syndrome. Biochem,2010'}"), (0.85, "{21: 'Thermodynamic insights into the structural basis governing the donor substrate recognition by human beta1,4-galactosyltransferase 7. Biochem,2009', 29: 'Biochemical and thermodynamic characterization of mutated beta1,4-galactosyltransferase 7 involved in the progeroid form of the Ehlers-Danlos syndrome. Biochem,2010'}")]
2.4.1.143	Homo sapiens	5VCM.pdb	mol_2103.sdf	7	37°C	[(0.0782, '39'), (0.062, '39')]
2.4.1.143	Homo sapiens	5VCM.pdb	mol_2104.sdf	7	37°C	[(0.349, '39'), (0.295, '39')]
2.4.1.152	Helicobacter pylori	2NZX.pdb	mol_2106.sdf	7.5	37°C	[(6.448, '82'), (5.3392, '82')]
2.4.1.227	Escherichia coli	1NLM.pdb	mol_2101.sdf	-----	-----	[(0.053, '8'), (0.027, '15')]
2.4.1.255	Homo sapiens	5NPS.pdb	mol_2167.sdf	-----	37°C	[(0.1805, '82'), (0.1757, '82')]
2.4.1.269	Rhodothermus marinus	2BO4.pdb	mol_2154.sdf	7.6	90°C	[(0.3, '1'), (0.2, "{1: 'Biosynthesis of mannosylglycerate in the thermophilic bacterium Rhodothermus marinus. Biochemical and genetic characterization of a mannosylglycerate synthase. J. Biol,1999', 4: 'The plant Selaginella moellendorffii possesses enzymes for synthesis and hydrolysis of the compatible solutes mannosylglycerate and glucosylglycerate,2012'}")]
2.4.1.269	Rhodothermus marinus	2BO4.pdb	mol_400.sdf	7.6	90°C	[(0.9, '1'), (0.6, '1')]
2.4.1.339	Listeria innocua	5B0R.pdb	mol_1156.sdf	7	30°C	[(0.19, '2'), (0.13, '2')]
2.4.1.36	Streptomyces venezuelae	5LQD.pdb	mol_2231.sdf	and	-----	[(0.93, '3'), (0.9, '3')]
2.4.2.1	Homo sapiens	7ZSL.pdb	mol_2281.sdf	7.4	25°C	[(0.0399, '206'), (0.0341, '206')]
2.4.2.1	Homo sapiens	7ZSL.pdb	mol_2280.sdf	7.5	25°C	[(0.04, "{55: 'Purine nucleoside phosphorylase. 1. Structure-function Studies,1997', 84: 'Purine nucleoside phosphorylase: a potential target for the development of drugs to treat T-cell- and apicomplexan parasite-mediated diseases. Curr,2007', 115: 'Substrate specificity and kinetic mechanism of purine nucleoside phosphorylase from Mycobacterium tuberculosis. Arch. Biochem,2009', 119: 'Second-sphere amino acids contribute to transition-state structure in bovine purine nucleoside phosphorylase,2008'}"), (0.038, "{68: 'Plasmodium falciparum purine nucleoside phosphorylase: crystal structures, immucillin inhibitors, and dual catalytic function. J. Biol,2004', 119: 'Second-sphere amino acids contribute to transition-state structure in bovine purine nucleoside phosphorylase,2008'}")]
2.4.2.10	Mycobacterium tuberculosis	5HKF.pdb	mol_2313.sdf	8	25°C	[(0.01, '64'), (0.0094, '64')]
2.4.2.18	Saccharolobus solfataricus	1ZYK.pdb	mol_2317.sdf	7.5	60°C	[(7e-05, '22'), (4e-05, '22')]
2.4.2.28	Saccharolobus solfataricus	1JE0.pdb	mol_1156.sdf	-----	-----	[(0.125, '{24: "Heterologous expression of 5\'-methylthioadenosine phosphorylase from the archaeon Sulfolobus solfataricus: characterization of the recombinant protein and involvement of disulfide bonds in thermophilicity and thermostability. Protein Expr,1999"}'), (0.123, '19')]
2.4.2.8	Homo sapiens	4RAO.pdb	mol_2312.sdf	7.4	28°C	[(1.075, '74'), (0.546, '74')]
2.4.2.8	Plasmodium falciparum	7TUX.pdb	mol_2314.sdf	7.4	23°C	[(0.0042, '91'), (0.0039, '91')]
2.4.2.8	Plasmodium falciparum	7TUX.pdb	mol_2310.sdf	7.4	23°C	[(0.0075, '92'), (0.005, "{92: 'Slow ligand-induced conformational switch increases the catalytic rate in Plasmodium falciparum hypoxanthine guanine xanthine phosphoribosyltransferase. Mol,2015'}")]
2.4.2.8	Caldanaerobacter subterraneus subsp. tengcongensis	1YFZ.pdb	mol_2312.sdf	7.4	25°C	[(0.125, '52'), (0.123, '52')]
2.4.2.8	Caldanaerobacter subterraneus subsp. tengcongensis	1YFZ.pdb	mol_2312.sdf	7.4	37°C	[(0.119, '52'), (0.116, "{44: 'A non-active site mutation in human hypoxanthine guanine phosphoribosyltransferase expands substrate specificity. Arch. Biochem,2004', 52: 'Cloning, purification, and characterization of thermostable hypoxanthine-guanine phosphoribosyltransferase from Thermoanaerobacter tengcongensis. Protein Expr,2003'}")]
2.4.2.8	Caldanaerobacter subterraneus subsp. tengcongensis	1YFZ.pdb	mol_2312.sdf	7.4	50°C	[(0.138, '52'), (0.112, '52')]
2.4.2.8	Leishmania tarentolae	1PZM.pdb	mol_2352.sdf	-----	-----	[(0.138, '39'), (0.127, '39')]
2.4.3.1	Rattus norvegicus	4MPS.pdb	mol_2356.sdf	6.5	37°C	[(1.8, "{83: 'Enzymatic basis for N-glycan sialylation: structure of rat alpha2,6-sialyltransferase (ST6GAL1) reveals conserved and unique features for glycan sialylation. J. Biol,2013'}"), (1.4, '83')]
2.4.3.1	Rattus norvegicus	4MPS.pdb	mol_2355.sdf	6.5	37°C	[(0.093, '83'), (0.092, '83')]
2.4.3.1	Homo sapiens	6QVS.pdb	mol_2355.sdf	6	37°C	[(0.11, '70'), (0.1, "{70: 'Involvement of ST6Gal I in the biosynthesis of a unique human colon cancer biomarker candidate, alpha2,6-sialylated blood group type 2H (ST2H) antigen. J,2010', 83: 'Enzymatic basis for N-glycan sialylation: structure of rat alpha2,6-sialyltransferase (ST6GAL1) reveals conserved and unique features for glycan sialylation. J. Biol,2013'}")]
2.4.3.4	Sus scrofa	2WNF.pdb	mol_2365.sdf	6.5	37°C	[(0.21, '9'), (0.2, '9')]
2.5.1.111	Streptomyces roseochromogenus subsp. oscitans	2XM5.pdb	mol_2393.sdf	7.5	30°C	[(0.035, '5'), (0.025, '4')]
2.5.1.111	Streptomyces roseochromogenus subsp. oscitans	2XM5.pdb	mol_727.sdf	7.5	30°C	[(0.025, "{4: 'Structure and mechanism of the magnesium-independent aromatic prenyltransferase CloQ from the clorobiocin biosynthetic pathway. J. Mol,2010', 5: 'CloQ, a prenyltransferase involved in clorobiocin biosynthesis. Proc. Natl. Acad. Sci,2003'}"), (0.016, '4')]
2.5.1.136	Aspergillus terreus	5KD6.pdb	mol_2398.sdf	7.5	37°C	[(0.7, '5'), (0.47, '5')]
2.5.1.17	Homo sapiens	6D5X.pdb	mol_2418.sdf	-----	-----	[(0.0016, "{18: 'Human ATP:cob(I)alamin adenosyltransferase and its interaction with methionine synthase reductase. J. Biol,2004', 29: 'Functional characterization and mutation analysis of human ATP:Cob(I)alamin adenosyltransferase,2008'}"), (0.00158, '29')]
2.5.1.17	Homo sapiens	6D5X.pdb	mol_810.sdf	-----	-----	[(0.00735, '29'), (0.00719, '29'), (0.0069, "{18: 'Human ATP:cob(I)alamin adenosyltransferase and its interaction with methionine synthase reductase. J. Biol,2004', 29: 'Functional characterization and mutation analysis of human ATP:Cob(I)alamin adenosyltransferase,2008'}")]
2.5.1.18	Homo sapiens	5J41.pdb	mol_2424.sdf	6.5	30°C	[(0.88, "{156: 'Characterization of putative hydrophobic substrate binding site residues of a Delta class glutathione transferase from Anopheles dirus. Arch. Biochem,2008', 187: 'Expression, purification and functional analysis of hexahistidine-tagged human glutathione S-transferase P1-1 and its cysteinyl mutants,2007'}"), (0.66, '187')]
2.5.1.55	Aquifex aeolicus	3E12.pdb	mol_2444.sdf	7.5	40°C	[(0.00028, '43'), (0.00015, '43'), (0.00016, "{43: 'Electronic structure of the metal center in the Cd(2+), Zn(2+), and Cu(2+) substituted forms of KDO8P synthase: implications for catalysis,2009'}")]
2.5.1.6	Rattus norvegicus	1QM4.pdb	mol_810.sdf	-----	-----	[(0.588, '51'), (0.53, '51')]
2.5.1.6	Saccharolobus solfataricus	4L7I.pdb	mol_810.sdf	8	37°C	[(0.0969, '101'), (0.0686, '101')]
2.5.1.90	Escherichia coli	5ZE6.pdb	mol_2452.sdf	7.5	-----	[(0.0069, '19'), (0.004, "{13: 'Roles of amino acids in the Escherichia coli octaprenyl diphosphate synthase active site probed by structure-guided site-directed mutagenesis,2012', 19: ''}")]
2.6.1.13	Homo sapiens	6OIA.pdb	mol_803.sdf	8	37°C	[(10.5, '67'), (8.97, '67')]
2.6.1.16	Escherichia coli	1MOQ.pdb	mol_1397.sdf	7.2	37°C	[(0.14, '60'), (0.11, '60')]
2.6.1.16	Escherichia coli	1MOQ.pdb	mol_139.sdf	7.2	37°C	[(0.8, '60'), (0.5, "{15: 'L-glutamine:D-fructose 6-phosphate amidotransferase of chick cartilage. Evidence for a random mechanism,1971', 60: 'Evaluation of synthase and hemisynthase activities of glucosamine-6-phosphate synthase by matrix-assisted laser desorption/ionization time-of-flight mass spectrometry. Anal,2014'}")]
2.6.1.39	Thermus thermophilus	2Z1Y.pdb	mol_337.sdf	8	45°C	[(0.3, '15'), (0.27, '15')]
2.6.1.42	Escherichia coli	1IYD.pdb	mol_1407.sdf	8	37°C	[(26.5, '97'), (20.9, '97'), (21.8, '97')]
2.6.1.44	Homo sapiens	1H0C.pdb	mol_1396.sdf	7.4	25°C	[(52.0, '66'), (51.0, '69')]
2.6.1.7	Homo sapiens	2R2N.pdb	mol_1401.sdf	7.4	37°C	[(14.2, '58'), (12.9, '58')]
2.7.1.1	Saccharomyces cerevisiae	3B8A.pdb	mol_110.sdf	-----	-----	[(0.47, '91'), (0.3, "{82: 'Isozymes of mammalian hexokinase: structure, subcellular localization and metabolic function. J. Exp,2003', 91: 'Kinetic and proteomic analyses of S-nitrosoglutathione-treated hexokinase A: consequences for cancer energy metabolism,2007'}")]
2.7.1.1	Kluyveromyces lactis	3O8M.pdb	mol_810.sdf	7.4	25°C	[(0.39, "{80: 'The unique hexokinase of Kluyveromyces lactis. Molecular and functional characterization and evaluation of a role in glucose signaling. J. Biol,2003', 109: 'Glucokinase thermolability and hepatic regulatory protein binding are essential factors for predicting the blood glucose phenotype of missense mutations. J. Biol,2007', 176: 'Mutational analysis of allosteric activation and inhibition of glucokinase. Biochem,2011'}"), (0.226, '80')]
2.7.1.1	Homo sapiens	3F9M.pdb	mol_810.sdf	7.1	-----	[(0.46, "{106: 'Insights into the structure and regulation of glucokinase from a novel mutation (V62M), which causes maturity-onset diabetes of the young. J. Biol,2005', 176: 'Mutational analysis of allosteric activation and inhibition of glucokinase. Biochem,2011'}"), (0.31, "{176: 'Mutational analysis of allosteric activation and inhibition of glucokinase. Biochem,2011'}")]
2.7.1.105	Homo sapiens	6HVI.pdb	mol_2558.sdf	7.5	30°C	[(0.013, '67'), (0.008, '67'), (0.0074, '67'), (0.0092, '67'), (0.0071, "{67: 'The kinase activity of human brain 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase is regulated via inhibition by phosphoenolpyruvate. Arch. Biochem,2005'}")]
2.7.1.11	Homo sapiens	4XZ2.pdb	mol_139.sdf	7.2	25°C	[(0.37, "{83: 'Purification and characterization of phosphofructokinase from the yeast Kluyveromyces lactis,1997', 170: 'Type 2 diabetes differentially affects the substrate saturation kinetic attributes of erythrocyte hexokinase and phosphofructokinase,2020'}"), (0.29, "{83: 'Purification and characterization of phosphofructokinase from the yeast Kluyveromyces lactis,1997', 170: 'Type 2 diabetes differentially affects the substrate saturation kinetic attributes of erythrocyte hexokinase and phosphofructokinase,2020'}")]
2.7.1.119	Streptomyces hygroscopicus	6IY9.pdb	mol_2560.sdf	7.5	45°C	[(0.03, '3'), (0.0167, '3')]
2.7.1.119	Streptomyces hygroscopicus	6IY9.pdb	mol_810.sdf	7.5	45°C	[(0.0822, '3'), (0.0423, '3')]
2.7.1.147	Thermococcus litoralis	4B8R.pdb	mol_2086.sdf	7.8	40°C	[(0.014, "{12: 'Catalytic and regulatory roles of divalent metal cations on the phosphoryl-transfer mechanism of ADP-dependent sugar kinases from hyperthermophilic archaea,2012', 19: 'Dissecting the functional roles of the conserved NXXE and HXE motifs of the ADP-dependent glucokinase from Thermococcus litoralis,2015'}"), (0.0086, "{17: 'Crystal structure, SAXS and kinetic mechanism of hyperthermophilic ADP-dependent glucokinase from Thermococcus litoralis reveal a conserved mechanism for catalysis,2013'}")]
2.7.1.173	Homo sapiens	2QT1.pdb	mol_2584.sdf	7.5	37°C	[(0.088, '4'), (0.068, '4')]
2.7.1.185	Thermoplasma acidophilum	4RKS.pdb	mol_2588.sdf	8.5	55°C	[(0.13, '4'), (0.097, '1')]
2.7.1.25	Homo sapiens	2PEZ.pdb	mol_810.sdf	8	37°C	[(0.45, '21'), (0.26, '21'), (0.23, '21')]
2.7.1.25	Arabidopsis thaliana	3UIE.pdb	mol_2606.sdf	7.5	25°C	[(0.00048, '{44: \'Nucleotide binding site communication in Arabidopsis thaliana adenosine 5\\x92-phosphosulfate kinase. J. Biol,2012\', 45: \'Redox-linked gating of nucleotide binding by the N-terminal domain of adenosine 5\\x92-phosphosulfate kinase. J. Biol,2013\', 46: "Structural basis and evolution of redox regulation in plant adenosine-5\'-phosphosulfate kinase. Proc. Natl. Acad. Sci,2012"}'), (0.00043, '{45: \'Redox-linked gating of nucleotide binding by the N-terminal domain of adenosine 5\\x92-phosphosulfate kinase. J. Biol,2013\', 46: "Structural basis and evolution of redox regulation in plant adenosine-5\'-phosphosulfate kinase. Proc. Natl. Acad. Sci,2012"}')]
2.7.1.26	Corynebacterium ammoniagenes	5A89.pdb	mol_960.sdf	7	25°C	[(0.0117, "{35: 'Quaternary organization in a bifunctional prokaryotic FAD synthetase: Involvement of an arginine at its adenylyltransferase module on the riboflavin kinase activity. Biochim. Biophys,2015'}"), (0.0069, '38'), (0.01, "{7: 'Affinity chromatographic purification and properties of flavokinase (ATP:riboflavin 5-phosphotransferase) from rat liver. J. Biol,1980', 8: 'Continuous fluorescence assay, partial purification and properties of flavokinase from Megasphaera elsdenii,1980', 9: 'A continuous fluorometric assay for flavokinase. Properties of flavokinase from Peptostreptococcus elsdenii. Biochim. Biophys,1977', 10: 'Preparation and properties of immobilized flavokinase. Biotechnol,1979', 31: 'Role of key residues at the flavin mononucleotide (FMN):adenylyltransferase catalytic site of the bifunctional riboflavin kinase/flavin adenine dinucleotide (FAD) synthetase from Corynebacterium ammoniagenes. Int. J. Mol,2012', 38: 'Kinetics and thermodynamics of the protein-ligand interactions in the riboflavin kinase activity of the FAD synthetase from Corynebacterium ammoniagenes. Sci,2017'}")]
2.7.1.32	Homo sapiens	5FTG.pdb	mol_810.sdf	and	-----	[(0.76, '79'), (0.4, "{79: 'Crystal structures of human choline kinase isoforms in complex with hemicholinium-3: single amino acid near the active site influences inhibitor sensitivity. J. Biol,2010'}")]
2.7.1.33	Mycobacterium tuberculosis	4BFZ.pdb	mol_2580.sdf	7.8	25°C	[(0.18, '39'), (0.1, '39')]
2.7.1.33	Mycobacterium tuberculosis	4BFZ.pdb	mol_2638.sdf	7.8	25°C	[(0.28, '39'), (0.25, '39')]
2.7.1.33	Homo sapiens	7UE7.pdb	mol_2613.sdf	7.5	37°C	[(0.017, '93'), (0.014, '70')]
2.7.1.35	Homo sapiens	3KEU.pdb	mol_516.sdf	7.3	37°C	[(0.02, '34'), (0.015, '34')]
2.7.1.40	Trypanosoma congolense	6SU1.pdb	mol_2444.sdf	7.2	25°C	[(0.65, '284'), (0.33, '284'), (0.38, '284')]
2.7.1.6	Homo sapiens	6Q3X.pdb	mol_127.sdf	7.5	37°C	[(0.71, '52'), (0.37, '54')]
2.7.1.6	Homo sapiens	6Q3X.pdb	mol_2648.sdf	7.5	37°C	[(0.33, '51'), (0.17, "{52: '', 54: 'Improving the activity and stability of human galactokinase for therapeutic and biotechnological applications,2018'}")]
2.7.1.73	Escherichia coli	6VWO.pdb	mol_810.sdf	7.2	30°C	[(0.71, '4'), (0.51, '4')]
2.7.1.74	Homo sapiens	1P5Z.pdb	mol_2559.sdf	7.5	37°C	[(0.0106, '69'), (0.008, '69')]
2.7.2.3	Chlamydomonas reinhardtii	6HXE.pdb	mol_810.sdf	7.9	25°C	[(0.4, '158'), (0.31, '158')]
2.7.2.3	Chlamydomonas reinhardtii	6HXE.pdb	mol_487.sdf	7.9	25°C	[(0.37, '158'), (0.35, '158')]
2.7.2.3	Saccharomyces cerevisiae	1FW8.pdb	mol_2086.sdf	-----	-----	[(0.18, '88'), (0.1, "{88: 'Enzymatic activity of immobilized yeast phosphoglycerate kinase. Biosens,2007', 103: 'Communication between the nucleotide site and the main molecular hinge of 3-phosphoglycerate kinase,2008', 108: 'Role of side-chains in the operation of the main molecular hinge of 3-phosphoglycerate kinase,2008'}")]
2.7.2.3	Trypanosoma brucei brucei	16PK.pdb	mol_487.sdf	and	-----	[(2.02, '176'), (1.55, "{56: 'Purification and characterisation of the phosphoglycerate kinase isoenzymes of Trypanosoma brucei expressed in Escherichia coli. Biochim. Biophys,1998', 176: ''}")]
2.7.2.3	Trypanosoma brucei brucei	16PK.pdb	mol_810.sdf	and	-----	[(0.29, "{56: 'Purification and characterisation of the phosphoglycerate kinase isoenzymes of Trypanosoma brucei expressed in Escherichia coli. Biochim. Biophys,1998', 176: ''}"), (0.28, "{34: 'Purification and properties of phosphoglycerate kinase from Thermus thermophilus strain HB8. J,1979', 56: 'Purification and characterisation of the phosphoglycerate kinase isoenzymes of Trypanosoma brucei expressed in Escherichia coli. Biochim. Biophys,1998', 176: ''}")]
2.7.2.3	Pseudomonas sp.	6HXE.pdb	mol_810.sdf	7.5	25°C	[(0.38, "{62: 'Structural, kinetic, and calorimetric characterization of the cold-active phosphoglycerate kinase from the antarctic Pseudomonas sp. TACII18. J. Biol,2000', 176: ''}"), (0.21, "{56: 'Purification and characterisation of the phosphoglycerate kinase isoenzymes of Trypanosoma brucei expressed in Escherichia coli. Biochim. Biophys,1998', 62: 'Structural, kinetic, and calorimetric characterization of the cold-active phosphoglycerate kinase from the antarctic Pseudomonas sp. TACII18. J. Biol,2000', 176: ''}"), (0.24, "{45: '3-Phosphoglycerate kinase from rat tissues. Further characterization and developmental studies,1974', 62: 'Structural, kinetic, and calorimetric characterization of the cold-active phosphoglycerate kinase from the antarctic Pseudomonas sp. TACII18. J. Biol,2000', 108: 'Role of side-chains in the operation of the main molecular hinge of 3-phosphoglycerate kinase,2008', 176: ''}")]
2.7.2.3	Pseudomonas sp.	6HXE.pdb	mol_487.sdf	7.5	25°C	[(0.89, "{62: 'Structural, kinetic, and calorimetric characterization of the cold-active phosphoglycerate kinase from the antarctic Pseudomonas sp. TACII18. J. Biol,2000', 176: ''}"), (0.53, "{62: 'Structural, kinetic, and calorimetric characterization of the cold-active phosphoglycerate kinase from the antarctic Pseudomonas sp. TACII18. J. Biol,2000', 108: 'Role of side-chains in the operation of the main molecular hinge of 3-phosphoglycerate kinase,2008', 176: ''}"), (0.48, "{62: 'Structural, kinetic, and calorimetric characterization of the cold-active phosphoglycerate kinase from the antarctic Pseudomonas sp. TACII18. J. Biol,2000', 176: ''}")]
2.7.2.8	Saccharomyces cerevisiae	3ZZH.pdb	mol_2702.sdf	-----	37°C	[(13.3, '36'), (10.0, '36')]
2.7.2.8	Saccharomyces cerevisiae	3ZZH.pdb	mol_810.sdf	-----	37°C	[(20.1, '36'), (15.3, '36')]
2.7.2.8	Arabidopsis thaliana	2RD5.pdb	mol_810.sdf	7.5	-----	[(0.4, '29'), (0.3, '29')]
2.7.2.8	Arabidopsis thaliana	2RD5.pdb	mol_810.sdf	-----	-----	[(2.47, '21'), (2.03, '21'), (1.74, '21')]
2.7.2.8	Arabidopsis thaliana	2RD5.pdb	mol_2702.sdf	-----	-----	[(9.45, '21'), (7.08, '21'), (7.55, '21')]
2.7.3.2	Oryctolagus cuniculus	1U6R.pdb	mol_810.sdf	-----	-----	[(0.7, "{83: 'Transition state stabilization by six arginines clustered in the active site of creatine kinase. Biochim. Biophys,2005', 102: 'Impact of intra-subunit domain-domain interactions on creatine kinase activity and stability,2006', 105: 'Comparison of kinetic constants of creatine kinase isoforms. Int. J. Biol,2006'}"), (0.41, '103')]
2.7.3.2	Homo sapiens	3B6R.pdb	mol_810.sdf	9	30°C	[(0.29, "{81: 'Isoleucine 69 and valine 325 form a specificity pocket in human muscle creatine kinase,2004'}"), (0.22, "{81: 'Isoleucine 69 and valine 325 form a specificity pocket in human muscle creatine kinase,2004'}")]
2.7.3.2	Homo sapiens	3B6R.pdb	mol_810.sdf	-----	-----	[(0.29, "{81: 'Isoleucine 69 and valine 325 form a specificity pocket in human muscle creatine kinase,2004'}"), (0.22, "{81: 'Isoleucine 69 and valine 325 form a specificity pocket in human muscle creatine kinase,2004'}")]
2.7.4.22	Helicobacter pylori	4A7W.pdb	mol_810.sdf	7.4	30°C	[(0.4, '23'), (0.304, '23')]
2.7.4.22	Escherichia coli	2BNE.pdb	mol_2344.sdf	-----	-----	[(0.1, "{2: 'UMP kinase from Streptococcus pneumoniae: evidence for co-operative ATP binding and allosteric regulation. Biochem,2004', 15: 'Regulatory mechanisms differ in UMP kinases from Gram-negative and Gram-positive bacteria. J. Biol,2007'}")]
2.7.4.22	Haemophilus influenzae	2BNE.pdb	mol_2344.sdf	-----	-----	[(0.1, "{2: 'UMP kinase from Streptococcus pneumoniae: evidence for co-operative ATP binding and allosteric regulation. Biochem,2004', 15: 'Regulatory mechanisms differ in UMP kinases from Gram-negative and Gram-positive bacteria. J. Biol,2007'}")]
2.7.4.3	Megalodesulfovibrio gigas	2XB4.pdb	mol_2349.sdf	7.6	-----	[(0.071, '134'), (0.04, "{89: 'Nucleotide-binding domains of cystic fibrosis transmembrane conductance regulator, an ABC transporter, catalyze adenylate kinase activity but not ATP hydrolysis. J. Biol,2006', 134: 'Zinc-, cobalt- and iron-chelated forms of adenylate kinase from the Gram-negative bacterium Desulfovibrio gigas. Int. J. Biol,2009'}"), (0.046, "{119: 'An adaptive mutation in adenylate kinase that increases organismal fitness is linked to stability-activity trade-offs. Protein Eng. Des,2008', 134: 'Zinc-, cobalt- and iron-chelated forms of adenylate kinase from the Gram-negative bacterium Desulfovibrio gigas. Int. J. Biol,2009'}")]
2.7.4.3	Megalodesulfovibrio gigas	2XB4.pdb	mol_2086.sdf	7.6	-----	[(0.247, '134'), (0.128, '134'), (0.165, '134')]
2.7.4.3	Homo sapiens	7QI1.pdb	mol_2349.sdf	-----	-----	[(0.06, '89'), (0.04, "{89: 'Nucleotide-binding domains of cystic fibrosis transmembrane conductance regulator, an ABC transporter, catalyze adenylate kinase activity but not ATP hydrolysis. J. Biol,2006', 134: 'Zinc-, cobalt- and iron-chelated forms of adenylate kinase from the Gram-negative bacterium Desulfovibrio gigas. Int. J. Biol,2009'}")]
2.7.4.3	Homo sapiens	7QI1.pdb	mol_2086.sdf	-----	-----	[(0.3, '89'), (0.28, '89')]
2.7.4.3	Homo sapiens	7QI1.pdb	mol_810.sdf	-----	-----	[(0.08, "{89: 'Nucleotide-binding domains of cystic fibrosis transmembrane conductance regulator, an ABC transporter, catalyze adenylate kinase activity but not ATP hydrolysis. J. Biol,2006'}"), (0.07, '89')]
2.7.4.6	Halobacterium salinarum	2AZ3.pdb	mol_1825.sdf	7.5	30°C	[(3.8, '70'), (3.0, '70')]
